Site Name,WETLAND11,WETLAND11,WETLAND11
Isco Quantity,Flow Rate,Velocity,Level
Label,CalcFlow 1,Velocity,Level
Units,m3s,m/s,m
Resolution, 0.1 , 0.1 , 0.1 
Significant Digits,0,0,0

4/1/2020 2:40:00 PM,-2.046,-1.636,0.438
4/1/2020 2:45:00 PM,-2.768,-2.047,0.459
4/1/2020 2:50:00 PM,-0.002,-0.003,0.304
4/1/2020 2:55:00 PM,0.048,0.034,0.469
4/1/2020 3:00:00 PM,-0.288,-0.203,0.472
4/1/2020 3:05:00 PM,0.067,0.047,0.472
4/1/2020 3:10:00 PM,0.068,0.048,0.472
4/1/2020 3:15:00 PM,-0.143,-0.101,0.473
4/1/2020 3:20:00 PM,0.744,0.524,0.473
4/1/2020 3:25:00 PM,-2.337,-1.654,0.472
4/1/2020 3:30:00 PM,0.070,0.050,0.472
4/1/2020 3:35:00 PM,0.072,0.051,0.472
4/1/2020 3:40:00 PM,0.078,0.055,0.472
4/1/2020 3:45:00 PM,0.067,0.047,0.472
4/1/2020 3:50:00 PM,-0.707,-0.498,0.472
4/1/2020 3:55:00 PM,0.061,0.043,0.472
4/1/2020 4:00:00 PM,0.064,0.045,0.472
4/1/2020 4:05:00 PM,0.065,0.046,0.473
4/1/2020 4:10:00 PM,-1.307,-0.920,0.473
4/1/2020 4:15:00 PM,-2.863,-2.016,0.473
4/1/2020 4:20:00 PM,-2.351,-1.658,0.472
4/1/2020 4:25:00 PM,0.062,0.044,0.473
4/1/2020 4:30:00 PM,0.073,0.051,0.472
4/1/2020 4:35:00 PM,0.066,0.047,0.472
4/1/2020 4:40:00 PM,0.073,0.051,0.472
4/1/2020 4:45:00 PM,0.060,0.042,0.472
4/1/2020 4:50:00 PM,0.073,0.051,0.472
4/1/2020 4:55:00 PM,0.067,0.047,0.472
4/1/2020 5:00:00 PM,0.082,0.058,0.472
4/1/2020 5:05:00 PM,0.071,0.050,0.472
4/1/2020 5:10:00 PM,0.079,0.056,0.471
